id,host_id,street,city,suburb,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
29251493,96494136,Docklands,Melbourne,Docklands,VIC,3008,-37.82049816,144.9432209,Apartment,Entire home/apt,6,2,3,180,,,150,68,4,45,1,1125,5 weeks ago,t,6,17,26,153,13,100,10,10,10,10,10,10,4,7.36
18336337,114308475,South Yarra,Stonnington,South Yarra,VIC,3141,-37.8367604,144.9918002,Apartment,Entire home/apt,3,1,1,75,,,150,48,2,30,1,1125,today,t,4,14,31,31,137,99,10,10,10,10,10,10,1,7.35
23312384,83279587,Southbank,Melbourne,Southbank,VIC,3006,-37.82771576,144.9587586,Apartment,Private room,2,1,1,75,,,200,0,1,0,2,1124,a week ago,t,3,10,10,10,70,96,10,10,10,10,10,10,2,7.32
21735041,55415743,Melbourne,Melbourne,Melbourne,VIC,3004,-37.80922499,144.9617435,Apartment,Entire home/apt,4,1,1,138,,,300,65,2,15,1,1125,today,t,5,13,21,217,93,97,10,10,10,10,10,10,7,7.32
28597848,215831547,Melbourne,Melbourne,Melbourne,VIC,3000,-37.8151004,144.9530475,Apartment,Private room,4,1,2,75,,,,55,2,30,1,1125,today,t,3,13,13,13,18,98,10,10,10,10,10,10,2,7.3
21954778,160274141,South Yarra,Stonnington,South Yarra,VIC,3141,-37.83914216,144.9994245,Apartment,Entire home/apt,3,1,2,109,,,400,0,2,25,2,1125,2 months ago,t,16,33,46,132,86,93,10,10,10,10,10,10,1,7.29
19751390,111659154,Healesville,Yarra Ranges,Healesville,VIC,3777,-37.65563839,145.5159674,Apartment,Entire home/apt,4,2,2,144,,,200,0,4,50,1,30,1 week ago,t,6,30,52,310,119,91,9,9,10,9,10,9,1,7.26
13884891,669279,Melbourne,Melbourne,Melbourne,VIC,3004,-37.81318102,144.9591907,Apartment,Entire home/apt,4,1,2,130,,,300,55,2,30,2,30,today,t,8,22,46,46,206,95,10,10,10,10,10,10,9,7.25
16457959,669279,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81420855,144.9616359,Apartment,Entire home/apt,2,0,1,109,,,300,55,1,0,2,30,today,t,7,10,12,12,166,96,10,10,10,10,10,10,9,7.25
26850164,125442934,Brunswick,Moreland,Brunswick,VIC,3056,-37.7700374,144.9603634,Apartment,Entire home/apt,2,1,1,75,,,,,1,0,1,1125,5 weeks ago,t,1,9,29,86,31,98,10,10,10,10,10,10,1,7.21
27322148,26091172,Keilor Downs,Brimbank,Keilor Downs,VIC,3038,-37.72295782,144.8107524,Guesthouse,Entire home/apt,2,0,1,69,,,400,43,1,0,1,20,2 weeks ago,t,11,13,36,126,30,100,10,10,10,10,9,10,1,7.2
7389069,8530753,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81647595,144.9540066,Apartment,Entire home/apt,4,1,2,114,839,3609,199,69,3,14,1,1124,today,t,21,42,66,331,294,91,9,9,9,10,10,9,98,7.19
